"process","resource","type","trl","trl.reference","trl.notes","scale","scale.ref","scale.notes","capacity.max","capacity.min","capacity.other.i","capacity.other.ii","capacity.other.iii","capacity.other.iv","capacity.other.v"
"anaerobicDigestion_sewageSludge.yaml","wastewater","waste","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0960148112003552","2566.23 kg/s (summing total influents)., assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",1796.361,0.0116,,,,,
"anaerobicDigestion_usedOil.yaml","wastewater","waste","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0960148112003552","2566.23 kg/s (summing total influents)., assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",1796.361,0.0116,,,,,
"AnMBR-reverseOsmosis_wastewater.yaml","wastewater","waste","m","http://www.iwaponline.com/wst/05605/0211/056050211.pdf","Pilot plant","TODO","https://en.wikipedia.org/wiki/Membrane_bioreactor, http://www.sciencedirect.com/science/book/9781856174817","Up to 48 million litres per day. Assume that when commercialised, the process will scale up to the size of other similar processes, assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",555.6,0.0116,,,,,
"biochemical_cornStover_ethanol.yaml","elec","prod","c",,,"TODO","http://link.springer.com/article/10.1007/s00267-010-9494-2#page-13, http://www.ethanolproducer.com/articles/8623/small-scale-step-forward","18248 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",18.248,0.007243,,,,,
"biochemical_wastePaper_ethanol.yaml","elec","prod","c",,,"TODO","http://link.springer.com/article/10.1007/s00267-010-9494-2#page-12","22989 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",22.989,0.0084985,,,,,
"biochemical_wheatStraw_ethanol.yaml","elec","prod","c",,,"TODO","http://link.springer.com/article/10.1007/s00267-010-9494-2#page-11","20299 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",20.299,0.009477,,,,,
"biochemical_woodChips_ethanol.yaml","elec","prod","c",,,"TODO","http://link.springer.com/article/10.1007/s00267-010-9494-2#page-10","19543 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",19.543,0.00783,,,,,
"biodiesel_boiler.yaml","heat","prod","c",,,"TODO","http://ac.els-cdn.com/S0360544204001215/1-s2.0-S0360544204001215-main.pdf?_tid=3bab3f92-e760-11e4-a574-00000aacb35d&acdnat=1429536303_c75fb9294d87d9c0f19a3a90498aae5b","512 kW (school scale), domestic applications at the small-scale (http://biofuelrefineries.co.uk/green-qs-answered/using-biodiesel-for-heating/), range of boiler sizes taken from http://bpec.org.uk/downloads/CE30%20-%20Domestic%20heating%20by%20gas.pdf",0.512,0.025,0.03,0.035,0.04,0.045,0.05
"biodiesel-CHP.yaml","elec","prod","c",,,"CHECK REFERENCE",,,"CHECK-REFERENCE","NA",,,,,
"biodiesel-cookingOil.yaml","biodiesel","prod","c","http://www.extension.org/pages/27537/commercial-and-large-scale-biodiesel-production-systems#.Va4YrR9Pabk",,"TODO","http://www.extension.org/pages/27537/commercial-and-large-scale-biodiesel-production-systems#.Va4YrR9Pabk, http://www.vegetableoildiesel.co.uk/","Larger plants greater than 4 million L/year, small-scale systems produce 400 L in 5 hours (assume density of 0.87 kg/L http://www.sciencedirect.com/science/article/pii/S0960148108000773)",0.12,0.0193,,,,,
"biogas-agri.yaml","biomassAgriWaste","waste","c","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010",,"TODO","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-CHP.yaml","elec","prod","c",,,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf, Assume as for other similar CHP processes","0.5-300  Mwe",300,0.5,,,,,
"biogas-food.yaml","elec","prod","c","http://www.sciencedirect.com/science/article/pii/S0960148111005957",,"all scales","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010, assume as for biogas-agri.yaml","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-MSW-sewage.yaml","MSW","waste","c","http://www.sciencedirect.com/science/article/pii/S0304389406007953","Addition to wastewater","TODO","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010, assume as for biogas-agri.yaml","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-MSW.yaml","MSW","waste","c",,,"TODO","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010, assume as for biogas-agri.yaml","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-municipalFoodWaste-greenWaste-CNG-heat-elec.yaml","MSW","waste","m","http://www.sciencedirect.com/science/article/pii/S0961953410004757","Proposed pilot plant","TODO","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010, assume as for biogas-agri.yaml","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-municipalFoodWaste-greenWaste-CNG-heat.yaml","MSW","waste","m","http://www.sciencedirect.com/science/article/pii/S0000000000000001","Proposed pilot plant","u","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010, assume as for biogas-agri.yaml","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-municipalFoodWaste-greenWaste-CNG.yaml","MSW","waste","m","http://www.sciencedirect.com/science/article/pii/S0000000000000002","Proposed pilot plant","TODO","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010, assume as for biogas-agri.yaml","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-municipalFoodWaste-greenWaste-elec.yaml","MSW","waste","m","http://www.sciencedirect.com/science/article/pii/S0000000000000003","Proposed pilot plant","TODO","http://www.biocycle.net/2010/02/23/anaerobic-digestion-of-msw-in-europe/. almost 200 digesters in Europe by end of 2010, assume as for biogas-agri.yaml","Typical plants digest 30-70% of 100000-200000 tons per year. Smaller units digest 8000-15000 tpy, larger units digest 30000-50000 tpy.",4.439,0.254,,,,,
"biogas-UPGRADE-biomethane-AwR.yaml","methane","prod","c","http://www.sgc.se/ckfinder/userfiles/files/SGC270.pdf","Identifies existing plants","TODO","http://www.iea-biogas.net/files/daten-redaktion/download/publi-task37/upgrading_rz_low_final.pdf, http://www.engineeringtoolbox.com/gas-density-d_158.html","Capcity for gas range from 20 m3/hour to 13000 m3/hour, assume methane density is 0.668 kg/m3",0.24,0.254,,,,,
"biogas-UPGRADE-biomethane-BABIU.yaml","methane","prod","c","http://www.sgc.se/ckfinder/userfiles/files/SGC270.pdf","Identifies existing plants","TODO","http://www.iea-biogas.net/files/daten-redaktion/download/publi-task37/upgrading_rz_low_final.pdf, http://www.engineeringtoolbox.com/gas-density-d_158.html","Capcity for gas range from 20 m3/hour to 13000 m3/hour, assume methane density is 0.668 kg/m3",0.24,0.254,,,,,
"biogas-UPGRADE-biomethane-HPWS.yaml","methane","prod","c","http://www.sgc.se/ckfinder/userfiles/files/SGC270.pdf","Identifies existing plants","TODO","http://www.iea-biogas.net/files/daten-redaktion/download/publi-task37/upgrading_rz_low_final.pdf, http://www.engineeringtoolbox.com/gas-density-d_158.html","Capcity for gas range from 20 m3/hour to 13000 m3/hour, assume methane density is 0.668 kg/m3",0.24,0.254,,,,,
