process.name,capacity,scale.ref,scale.notes,trl,trl.reference,trl.notes
elecplant-coal-10,10,"https://en.wikipedia.org/wiki/List_of_coal_power_stations. http://www.eia.doe.gov/electricity/","Largest plant is 5400 MW. Other plants in the range 0-10, 10-20, 20-50, 100-250, 250-500 etc.",c,,
elecplant-cofiring-biomass-coal-fluidisedBed-10,10,https://en.wikipedia.org/wiki/List_of_largest_power_stations_in_the_world#Biomass,"Largest cofiring is Drax, 1100 MW (with 80% coal). Assume others in range above.",c,,
elecplant_hydrogenLooping-10,10,https://en.wikipedia.org/wiki/Fusina_hydrogen_power_station,"12 MW",r,https://en.wikipedia.org/wiki/Fusina_hydrogen_power_station,"First plant, operational in 2009"
review-methanogenic-digestion-0.122,0.122,http://www.asiabiomass.jp/english/topics/0910_03.html,"Japan: 10.5 ton/day, 50 ton/day, 110 ton/day",r,"http://ac.els-cdhttp://www.asiabiomass.jp/english/topics/0910_03.htmln.com/S0960852412016756/1-s2.0-S0960852412016756-main.pdf?_tid=53aa7c7e-36a8-11e5-a7eb-00000aacb360&acdnat=1438253409_dbb855f2cd094cb571476eb0a0084791, small scale:  http://www.sciencedirect.com/science/article/pii/S0960852414013625","Pilot plants. Commercial promise."
review-biomass-MFC-elec-butannol-0.122,0.122,"Assume as for methane","Japan: 10.5 ton/day, 50 ton/day, 110 ton/day",m,http://www.sciencedirect.com/science/article/pii/S1002007114000860,"Not yet cost efficient for commercial implementation"
review-butanol-fermentation-0.5996,0.5996,"http://www.ecn.nl/docs/library/report/2009/l09117.pdf, http://www.greencarcongress.com/2005/07/boosting_biomas.html","Plant design of 100000 ton/year. Future could have plants of 5 Ð 30 million gallons/year",r,http://biofuel.org.uk/third-generation-biofuels.html,"Òseveral commercial-scale facilities have been developed and are on the brink of making butanol and [sic] more popular biofuel than ethanolÓ"
review-ethanol-fermentation-0.122,0.122,"Assume as for methane","Japan: 10.5 ton/day, 50 ton/day, 110 ton/day.",m,http://www.biofuelstp.eu/algae-aquatic-biomass.html,"Still at the R&D stage (e.g. Algenol Biofuels, India)"
review-hydrogen-fermentation-0.5996,0.5996,"http://www.ecn.nl/docs/library/report/2009/l09117.pdf, http://www.greencarcongress.com/2005/07/boosting_biomas.htmlAssume same as ethanol fermentation","Plant design of 100000 ton/year. Future could have plants of 5 Ð 30 million gallons/year",ml,http://www.algaeindustrymagazine.com/developing-efficient-hydrogen-production-algae/,"No commercial examples found. Not yet economically competative"
SAF-MBR_wastewater-0.00657,0.00657,http://enr.construction.com/infrastructure/water_dams/2012/extras/0328/slideshow.asp?slide=2,"Largest plant is 1.44 billion gallons per day, Micro-plants of 150 L/day",c,http://www.sciencedirect.com/science/article/pii/S0960852412009327,"Commercial systems exist"
sludge-biodiesel-0.00317,0.00317,"http://www.cmclinnovations.com/wp-content/uploads/2014/01/The-future-viability-of-algae-derived-biodiesel-under-economic-and-technical-uncertainties.pdf, http://www.susana.org/en/resources/library/details/1808","Paper applies sensitivity analysis betwee 1000 to 100000 tonnes/year of biodiesel, proposed pilot plant of 10000 L of sludge per day",m,http://pubs.acs.org/stoken/presspac/presspac/full/10.1021/ef1001106,"No commercial examples found. Still barriers for commercial viability."
